Location,locationName,locationUsage,Inactive,Location_Type,Primary_Address
L-ISU-384-11323,0000 MACKAY - Mackay Hall,Business Asset,0,Other,0000 Mackay
L-ISU-752-20323,0001 AE-2 - Ae-2 Main Building - Agronomy/Agriculture Research,Business Asset,0,Special Use Facilities,0001 AE-2
L-ISU-610-1511,0001 ARMORY - Armory,Business Asset,0,Special Use Facilities,0001 Armory
L-ISU-625-2722,0001 BESSEY - Bessey Hall,Business Asset,0,Laboratory Facilities,0001 Bessey
L-ISU-579-3623,0001 CAMPANI - Campanile,Business Asset,0,Laboratory Facilities,0001 Campanile
L-ISU-580-3627,0001 CARVER - Carver Hall,Business Asset,0,Classroom Facilities,0001 Carver
L-ISU-593-21626,0001 CO-LAB - Roy J. Carver Co-Laboratory,Business Asset,0,Other,0001 Carver Co-Lab
L-ISU-594-4150,0001 COM BDG - Communications Building,Business Asset,0,Other,0001 Communications
L-ISU-600-23388,0001 COOVER - Coover Hall,Business Asset,0,Other,0001 Coover
L-ISU-534-4898,0001 DESIGN - College Of Design,Business Asset,0,Other,0001 Design
L-ISU-485-5702,0001 EXT I T - Extension Information Technology,Business Asset,1,,0001 Ext I T
L-ISU-491-5878,0001 FARM H - Farm House,Business Asset,0,Other,0001 Farm House
L-ISU-492-5911,0001 FC11 - Frederiksen Court 11,Business Asset,0,Other,0001 Fredrksn Ct 11
L-ISU-493-5912,0001 FC12 - Frederiksen Court 12,Business Asset,0,Other,0001 Fredrksn Ct 12
L-ISU-494-5913,0001 FC13 - Frederiksen Court 13,Business Asset,0,Other,0001 Fredrksn Ct 13
L-ISU-495-5914,0001 FC21 - Frederiksen Court 21,Business Asset,0,Other,0001 Fredrksn Ct 21
L-ISU-496-5915,0001 FC22 - Frederiksen Court 22,Business Asset,0,Other,0001 Fredrksn Ct 22
L-ISU-497-5916,0001 FC23 - Frederiksen Court 23,Business Asset,0,Other,0001 Fredrksn Ct 23
L-ISU-1088-27543,0001 FC24 - Frederiksen Court 24,Business Asset,0,Other,0001 Fredrksn Ct 24
L-ISU-498-5917,0001 FC31 - Frederiksen Court 31,Business Asset,0,Other,0001 Fredrksn Ct 31
L-ISU-499-5918,0001 FC32 - Frederiksen Court 32,Business Asset,0,Other,0001 Fredrksn Ct 32
L-ISU-500-5919,0001 FC33 - Frederiksen Court 33,Business Asset,0,Other,0001 Fredrksn Ct 33
L-ISU-501-5920,0001 FC34 - Frederiksen Court 34,Business Asset,0,Other,0001 Fredrksn Ct 34
L-ISU-1089-27544,0001 FC35 - Frederiksen Court 35,Business Asset,0,Other,0001 Fredrksn Ct 35
L-ISU-1090-27545,0001 FC36 - Frederiksen Court 35,Business Asset,0,Other,0001 Fredrksn Ct 36
L-ISU-502-5883,0001 FC41 - Frederiksen Court 41,Business Asset,0,Other,0001 Fredrksn Ct 41
L-ISU-503-5847,0001 FC42 - Frederiksen Court 42,Business Asset,0,Other,0001 Fredrksn Ct 42
L-ISU-504-5848,0001 FC43 - Frederiksen Court 43,Business Asset,0,Other,0001 Fredrksn Ct 43
L-ISU-505-5849,0001 FC51 - Frederiksen Court 51,Business Asset,0,Other,0001 Fredrksn Ct 51
L-ISU-506-5850,0001 FC52 - Frederiksen Court 52,Business Asset,0,Other,0001 Fredrksn Ct 52
L-ISU-507-5851,0001 FC53 - Frederiksen Court 53,Business Asset,0,Other,0001 Fredrksn Ct 53
L-ISU-508-5852,0001 FC61 - Frederiksen Court 61,Business Asset,0,Other,0001 Fredrksn Ct 61
L-ISU-509-5853,0001 FC62 - Frederiksen Court 62,Business Asset,0,Other,0001 Fredrksn Ct 62
L-ISU-510-5854,0001 FC63 - Frederiksen Court 63,Business Asset,0,Other,0001 Fredrksn Ct 63
L-ISU-511-5855,0001 FC71 - Frederiksen Court 71,Business Asset,0,Other,0001 Fredrksn Ct 71
L-ISU-512-5856,0001 FC72 - Frederiksen Court 72,Business Asset,0,Other,0001 Fredrksn Ct 72
L-ISU-513-5857,0001 FC73 - Frederiksen Court 73,Business Asset,0,Other,0001 Fredrksn Ct 73
L-ISU-514-5858,0001 FC74 - Frederiksen Court 74,Business Asset,0,Other,0001 Fredrksn Ct 74
L-ISU-1091-27546,0001 FC81 - Frederiksen Court 81,Business Asset,0,Other,0001 Fredrksn Ct 81
L-ISU-1092-27547,0001 FC82 - Frederiksen Court 82,Business Asset,0,Other,0001 Fredrksn Ct 82
L-ISU-1093-27548,0001 FC83 - Frederiksen Court 83,Business Asset,0,Other,0001 Fredrksn Ct 83
L-ISU-515-5859,0001 FCCC - Frederiksen Court Community Center,Business Asset,0,General Use Facilities,0001 Fredrksn Ct Cc
L-ISU-478-5946,0001 FIRE TR - Firemanship Training,Work Space; Business Asset,0,Office Facilities,0001 Firemnshp Trng
L-ISU-446-6344,0001 FOR GRN - Forestry Greenhouse,Business Asset,0,Special Use Facilities,0001 Forestry Gh
L-ISU-447-6376,0001 FORKER - Barbara E Forker Building,Business Asset,0,Other,0001 Forker
L-ISU-453-6717,0001 GEN STG - Genetics Storage Building,Business Asset,1,,0001 Genetics Stor
L-ISU-460-7600,0001 HAMILTN - Hamilton Hall,Business Asset,0,Laboratory Facilities,0001 Hamilton
L-ISU-463-7985,0001 HGR 1 - I.S.U. Airport Hangar 1,Business Asset,0,Supporting Facilities,0001 Hangar 1
L-ISU-471-8002,0001 HILTON - Hilton Coliseum,Business Asset,0,Supporting Facilities,0001 Hilton
L-ISU-897-23008,0001 HIXSON - Hixson-Lied Student Success Center,Business Asset,0,Other,0001 Hixson Lied
L-ISU-475-8317,0001 HORSE B - Horse Barn and Machine Shed,Business Asset,0,Supporting Facilities,0001 Horse Barn
L-ISU-476-8418,0001 HORT - Horticulture Hall & Greenhouse,Business Asset,0,Other,0001 Horticulture
L-ISU-459-7598,0001 HR WEST - Haber Road Substation West,Business Asset,0,Other,0001 Hr West
L-ISU-435-9287,0001 KILDEE - Kildee Hall,Business Asset,0,Study Facilities,0001 Kildee
L-ISU-436-9788,0001 KING - King Lab,Business Asset,0,Laboratory Facilities,0001 KING
L-ISU-439-9872,0001 L A - Landscape Architecture,Work Space; Business Asset,0,Office Facilities,0001 Landscape Arch
L-ISU-440-9905,0001 L MECH - Laboratory Of Mechanics,Business Asset,0,Other; Supporting Facilities,0001 Lab Mechanics
L-ISU-380-11178,0001 LINDEN - Linden Residence Hall,Business Asset,0,Supporting Facilities,0001 Linden
L-ISU-384-11324,0001 MACKAY - Mackay Hall,Business Asset,0,Laboratory Facilities,0001 Mackay
L-ISU-391-11946,0001 MESS H - Mess Hall,Business Asset,0,General Use Facilities,0001 MESS H
L-ISU-396-12481,0001 MORRILL - Morrill Hall,Business Asset,0,Other,0001 Morrill
L-ISU-291-26455,0001 NLAE - National Lab For Agric. & Envir.,Business Asset,0,Unclassified Facilities,0001 Natl Lab Ag Env
L-ISU-369-13057,0001 OIL ST - Oil Storage Building,Business Asset,0,Supporting Facilities,0001 Oil Storage
L-ISU-349-13672,0001 PHYSICS - Physics Hall,Work Space; Business Asset,0,Office Facilities; Laboratory Facilities,0001 Physics
